,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
AAPL,2.94T,3.01T,31.99,32.05,3.85,8.27,46.67,8.22,24.41,1.20,33.46%,25.05%,182.13,116.21,156.34,141.48,89.17M,133.84M,16.41B,N/A,16.39B,0.07%,58.79%,112.6M,1.4,0.69%,0.69%,100.5M,0.88,0.51%,0.85,0.50%,1.20,15.15%,"Nov 10, 2021","Nov 04, 2021",4:1,"Aug 30, 2020","Sep 24, 2021","Sep 24, 2021",25.88%,29.78%,20.18%,147.44%,365.82B,21.90,28.80%,152.84B,120.23B,94.68B,5.61,62.20%,62.64B,3.82,136.52B,216.39,1.08,3.84,104.04B,73.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2.57T,2.50T,38.32,37.45,2.91,14.75,16.92,14.21,27.81,0.87,45.47%,25.05%,349.67,211.94,325.68,282.93,26.63M,33.76M,7.51B,N/A,7.5B,0.07%,71.84%,40.88M,1.68,0.54%,0.54%,49.33M,2.48,0.77%,2.30,0.71%,1.42,25.06%,"Mar 09, 2022","Feb 15, 2022",2:1,"Feb 17, 2003","Jun 29, 2021","Sep 29, 2021",38.51%,42.14%,14.59%,49.30%,176.25B,23.40,22.00%,115.86B,85.75B,67.88B,8.94,47.60%,130.58B,17.39,78.93B,51.94,2.16,20.24,81.95B,49.82B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,754.95B,747.48B,93.06,58.82,3.22,31.51,31.72,30.79,75.30,1.37,108.52%,25.05%,346.47,115.67,278.43,203.24,40.22M,60.89M,2.49B,N/A,2.4B,4.08%,66.82%,22.55M,0.44,0.94%,0.90%,26.11M,0.16,0.06%,0.16,0.06%,0.26,4.93%,"Dec 22, 2021","Nov 30, 2021",4:1,"Jul 19, 2021","Jan 30, 2021","Oct 30, 2021",33.81%,35.45%,15.93%,41.94%,24.27B,9.75,50.30%,10.56B,9.76B,8.21B,3.24,84.40%,19.3B,7.72,11.83B,49.70,7.14,9.51,8.14B,5.94B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSM,567.15B,553.17B,30.20,25.38,1.89,11.31,8.23,0.37,0.53,1.00,10.96%,25.05%,142.20,102.91,117.30,116.97,7.82M,7.07M,5.19B,N/A,4.84B,0.01%,17.27%,13.06M,1.47,N/A,0.25%,12.34M,1.93,1.66%,10.75,9.24%,2.81,46.96%,"Apr 13, 2022","Mar 15, 2022",1005:1000,"Jul 14, 2009","Dec 30, 2020","Sep 29, 2021",37.93%,41.34%,13.08%,29.67%,1.51T,291.31,16.30%,711.15B,1.03T,573.07B,3.97,13.80%,989.53B,190.8,605.18B,29.12,2.09,400.30,993.09B,103.62B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,319.75B,319.36B,52.21,40.82,1.81,15.94,24.77,17.86,47.70,0.95,58.78%,25.05%,895.93,459.48,800.60,728.48,967.54k,908.93k,413.33M,N/A,407.8M,0.00%,18.61%,1.01M,1.26,N/A,0.24%,842.77k,3.96,0.53%,3.35,0.45%,0.83,20.74%,"Nov 11, 2021","Nov 01, 2021",8:9,"Sep 30, 2007","Dec 30, 2020","Oct 02, 2021",30.54%,34.83%,14.76%,43.26%,17.88B,43.31,32.40%,6.8B,6.6B,5.46B,14.84,63.90%,4.46B,10.92,4.11B,35.69,1.71,28.20,9.1B,6.56B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,260.01B,289.39B,46.79,20.66,1.44,10.19,10.68,10.54,19.70,0.95,48.05%,25.05%,645.79,419.14,551.69,493.21,1.94M,3.42M,411.62M,N/A,405.85M,2.40%,82.24%,4.61M,2.81,1.58%,1.12%,5.09M,16.4,2.58%,14.90,2.35%,2.79,96.00%,"Dec 30, 2021","Dec 20, 2021",N/A,N/A,"Oct 30, 2021","Oct 30, 2021",24.54%,31.63%,7.16%,27.56%,27.45B,66.95,14.50%,20.29B,14.72B,6.44B,15.00,50.20%,12.16B,29.46,40.27B,161.16,2.64,60.44,13.76B,11.87B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,269.35B,267.87B,46.86,39.68,2.05,18.04,18.69,16.97,40.55,1.06,11.69%,25.05%,699.54,420.78,641.16,578.92,2.8M,4.8M,475.8M,N/A,474.61M,0.31%,85.36%,4.15M,2.01,0.87%,0.87%,4.96M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Mar 23, 2005",2:1,"May 23, 2005","Dec 02, 2021","Dec 02, 2021",30.55%,36.76%,14.08%,34.37%,15.78B,33.09,20.00%,13.92B,6.58B,4.82B,10.02,-45.20%,5.8B,12.18,4.67B,31.58,1.25,31.09,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,239.67B,235.00B,41.42,37.31,3.52,4.85,12.27,4.65,24.20,1.13,51.57%,25.05%,413.65,241.73,360.89,316.61,2.21M,2.95M,632M,658.84M,631.25M,0.12%,73.70%,3.56M,1.65,0.56%,0.56%,3.93M,3.88,0.98%,3.70,0.93%,1.54,38.43%,"Feb 14, 2022","Jan 11, 2022",N/A,N/A,"Aug 30, 2021","Nov 29, 2021",11.53%,15.20%,12.46%,31.95%,53.74B,84.72,27.20%,16.36B,9.03B,6.2B,9.61,19.40%,5.64B,8.93,3.48B,16.61,1.22,32.20,7.9B,6.32B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO,249.89B,236.05B,22.03,17.24,3.15,4.94,5.85,4.65,14.23,0.91,34.71%,25.05%,60.80,43.35,56.41,54.48,20.13M,25.98M,4.22B,N/A,4.21B,0.07%,75.17%,44.96M,1.85,1.07%,1.07%,41.42M,1.48,2.45%,1.47,2.43%,2.96,54.65%,"Jan 25, 2022","Jan 03, 2022",2:1,"Mar 22, 2000","Jul 30, 2021","Oct 29, 2021",22.44%,27.67%,9.20%,28.19%,50.79B,12.04,8.10%,31.89B,15.86B,11.4B,2.69,37.10%,23.35B,5.54,10.69B,25.03,1.62,10.13,14.79B,10.93B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCL,280.56B,323.97B,21.88,21.79,2.78,7.44,N/A,7.83,22.68,0.81,49.84%,25.05%,106.34,59.74,95.01,85.13,9.71M,15.55M,2.67B,N/A,1.52B,41.91%,43.69%,27.7M,3.73,1.74%,1.01%,29.46M,1.28,1.32%,1.20,1.24%,1.53,34.78%,"Jan 18, 2022","Jan 05, 2022",2:1,"Oct 12, 2000","May 30, 2021","Nov 29, 2021",24.79%,38.56%,9.20%,N/A,41.4B,14.75,5.70%,32.62B,18.41B,10.26B,3.54,N/A,22.84B,8.55,78.43B,N/A,1.65,-3.78,10.25B,9.68B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
